City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.25,scattered clouds,-23.1203,-134.9692,Pension Maro'i
3,Kimbe,PG,83.46,light rain,-5.5502,150.1429,Kimbe Bay Hotel
6,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Brufut,GM,78.8,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
11,Iquique,CL,73.4,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
15,Kapaa,US,78.8,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
17,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
21,Hithadhoo,MV,82.2,broken clouds,-0.6,73.0833,Scoop Guest House
25,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Mataura,NZ,72.37,scattered clouds,-46.1927,168.8643,Ellie's Villa
31,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
34,Vao,NC,76.23,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
38,Gunjur,GM,78.8,clear sky,13.2019,-16.7339,Kuba Lodge
41,Upington,ZA,75.2,clear sky,-28.4478,21.2561,River Place Manor
42,Bandarbeyla,SO,72.39,few clouds,9.4942,50.8122,JABIR HOTEL
44,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Hobart,AU,72.0,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
52,Presidencia Roque Saenz Pena,AR,80.01,few clouds,-26.7852,-60.4388,Hotel Gualok
53,East London,ZA,73.26,scattered clouds,-33.0153,27.9116,Tu Casa
54,Ampanihy,MG,78.55,overcast clouds,-24.7,44.75,Angora Hotel
57,Kismayo,SO,76.24,scattered clouds,-0.3582,42.5454,Agan-Hotel
60,Kavieng,PG,84.02,light rain,-2.5744,150.7967,Nusa Island Retreat
61,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
70,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
72,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
75,Atuona,PF,78.98,scattered clouds,-9.8,-139.0333,Villa Enata
76,Kiama,AU,72.0,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
78,Avarua,CK,75.2,heavy intensity rain,-21.2078,-159.775,Paradise Inn
79,West Bay,KY,84.2,few clouds,19.3667,-81.4167,Calypso Cove
83,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
85,Dingle,PH,73.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Port Alfred,ZA,71.01,clear sky,-33.5906,26.891,The Halyards Hotel
99,Cidreira,BR,75.97,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
100,Spring Hill,US,75.2,scattered clouds,28.4769,-82.5255,Room of The world By traveline Plus
103,Calama,CL,77.0,clear sky,-22.4667,-68.9333,Park Hotel Calama
105,Port Macquarie,AU,79.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
107,Kawalu,ID,71.29,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
109,Port Elizabeth,ZA,71.6,light rain,-33.918,25.5701,39 On Nile Guest House
110,New Norfolk,AU,72.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
112,Butaritari,KI,80.65,light rain,3.0707,172.7902,Isles Sunset Lodge
113,Vaini,TO,78.8,moderate rain,-21.2,-175.2,Keleti Beach Resort
120,Bambous Virieux,MU,80.6,scattered clouds,-20.3428,57.7575,Casa Tia Villa
122,Ahipara,NZ,71.62,clear sky,-35.1667,173.1667,Ahipara Holiday Park
124,Port Hueneme,US,71.6,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
125,Guhagar,IN,72.19,clear sky,17.4842,73.1929,Hotel Seawinds
127,Sao Jose Da Coroa Grande,BR,78.35,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
128,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
133,Oranjestad,AW,80.6,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
134,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
136,Lucea,JM,78.8,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
138,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
142,Paita,PE,76.96,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
147,Senador Guiomard,BR,84.2,few clouds,-10.1522,-67.7392,Paraíso Hotel
154,Mayumba,GA,78.91,overcast clouds,-3.432,10.6554,LIKWALE LODGE
156,Mahibadhoo,MV,81.79,overcast clouds,3.7833,72.9667,Omadhoo Inn
160,Tubuala,PA,87.8,few clouds,9.5167,-79.0333,Río Nabagana
161,Sawakin,SD,73.65,overcast clouds,19.1059,37.3321,فندق الدويم
162,Kailua,US,80.6,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
164,Pisco,PE,73.4,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
168,Quelimane,MZ,82.4,few clouds,-17.8786,36.8883,Hotel Flamingo
170,Vila Velha,BR,80.6,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
172,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
175,Meulaboh,ID,74.8,broken clouds,4.1363,96.1285,Kost Pria
181,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
182,Samarai,PG,84.11,scattered clouds,-10.6167,150.6667,Nuli Sapi
183,Tabou,CI,78.35,scattered clouds,4.423,-7.3528,hotêl doufoulougou
184,Caravelas,BR,76.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
185,Port Hedland,AU,75.2,moderate rain,-20.3167,118.5667,The Esplanade Hotel
188,Bambanglipuro,ID,76.12,light rain,-7.95,110.2833,Puri Brata
190,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
196,Ambanja,MG,75.9,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
205,Pandan,PH,76.75,overcast clouds,14.0453,124.1694,Bonifacio Lodge
207,Guerrero Negro,MX,70.18,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
208,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
215,Basoko,CD,74.01,broken clouds,1.2391,23.616,Flat Hotel La Benediction
216,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
217,Flinders,AU,72.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
224,Rio Grande,BR,78.8,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
230,Nelson Bay,AU,80.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
231,Port Blair,IN,78.39,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
239,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
241,Paraiso,CR,75.2,scattered clouds,9.8383,-83.8656,Rinconcito Verde
245,Itaqui,BR,76.64,scattered clouds,-29.1253,-56.5531,Biasi
249,Cabo San Lucas,MX,77.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
251,Tibacuy,CO,89.69,overcast clouds,4.3511,-72.4564,hospedaje las palmas
253,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Pirineos
260,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
263,Richards Bay,ZA,77.52,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
268,Namatanai,PG,84.52,light rain,-3.6667,152.4333,Namatanai Hotel
269,Lakes Entrance,AU,70.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
271,Mampong,GH,77.99,few clouds,7.0627,-1.4001,Adom Upscale Hotel
272,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
273,Broken Hill,AU,73.4,broken clouds,-31.95,141.4333,Royal Exchange Hotel
278,Comodoro Rivadavia,AR,71.6,scattered clouds,-45.8667,-67.5,Austral Hotel
280,Hobe Sound,US,73.4,scattered clouds,27.0595,-80.1364,Floridays RV Park
281,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
284,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
292,Esmeraldas,BR,80.6,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
300,Araceli,PH,79.75,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
301,Sabang,ID,81.03,broken clouds,5.8933,95.3214,Hotel Citra
302,Yegros,PY,74.28,scattered clouds,-26.45,-56.4,Bar Hospedaje Caacupe
307,Sao Joao Da Barra,BR,77.85,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
310,Keffi,NG,77.54,clear sky,8.8486,7.8736,Imam Family
314,Karratha,AU,86.9,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
317,Namibe,AO,73.74,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
320,Ontario,US,73.4,broken clouds,34.0633,-117.6509,DoubleTree by Hilton Hotel Ontario Airport
323,Muisne,EC,78.8,broken clouds,0.6,-80.0333,Quinta Samay
333,Inhambane,MZ,79.99,clear sky,-23.865,35.3833,Oceano
337,Buenos Aires,AR,70.0,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
340,Naranjal,EC,86.0,scattered clouds,-2.6667,-79.6167,Media Naranja
342,Morondava,MG,81.73,light rain,-20.2833,44.2833,La Case Bambou
345,Tacuarembo,UY,71.67,overcast clouds,-31.7333,-55.9833,Hotel Orange
347,Boa Vista,BR,86.0,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
349,Labrea,BR,77.18,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
351,Buchanan,LR,78.8,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
354,Sao Filipe,CV,73.27,clear sky,14.8961,-24.4956,Tortuga B&B
355,Koumac,NC,81.82,overcast clouds,-20.5667,164.2833,Le Monitel
