City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
0,Saint Anthony,45.0205,-93.218,33.8,69,90,9.22,US,1/31/2021 22:55,overcast clouds
1,Nikolskoye,59.7035,30.7861,26.6,86,75,6.71,RU,1/31/2021 22:55,snow
2,Rikitea,-23.1203,-134.9692,79.25,62,29,7.14,PF,1/31/2021 22:55,scattered clouds
3,Kimbe,-5.5502,150.1429,83.46,76,85,6.31,PG,1/31/2021 22:55,light rain
4,Takaka,-40.85,172.8,66,79,0,3,NZ,1/31/2021 22:55,clear sky
5,Bluff,-46.6,168.3333,61.29,68,63,3.69,NZ,1/31/2021 22:55,broken clouds
6,Saint-Philippe,-21.3585,55.7679,80.6,74,20,12.66,RE,1/31/2021 22:55,light rain
7,Bredasdorp,-34.5322,20.0403,63,83,99,1.01,ZA,1/31/2021 22:55,overcast clouds
8,Mar Del Plata,-38.0023,-57.5575,64.4,68,75,12.66,AR,1/31/2021 22:53,broken clouds
9,Brufut,13.3814,-16.7518,78.8,38,0,12.15,GM,1/31/2021 22:55,clear sky
10,Grindavik,63.8424,-22.4338,32,69,75,12.66,IS,1/31/2021 22:55,broken clouds
11,Iquique,-20.2208,-70.1431,73.4,60,0,20.71,CL,1/31/2021 22:53,clear sky
12,Albany,42.6001,-73.9662,17.01,53,100,2.59,US,1/31/2021 22:55,overcast clouds
13,Hermanus,-34.4187,19.2345,63,83,91,1.01,ZA,1/31/2021 22:55,overcast clouds
14,Chifeng,42.2683,118.9636,-0.53,81,0,10.38,CN,1/31/2021 22:55,clear sky
15,Kapaa,22.0752,-159.319,78.8,61,1,11.5,US,1/31/2021 22:50,clear sky
16,Ushuaia,-54.8,-68.3,53.6,62,75,8.05,AR,1/31/2021 22:52,broken clouds
17,Cayenne,4.9333,-52.3333,80.6,78,75,6.91,GF,1/31/2021 22:55,broken clouds
18,Barrhead,55.7992,-4.3929,34,86,99,11.5,GB,1/31/2021 22:55,overcast clouds
19,Tiksi,71.6872,128.8694,-27.15,86,100,6.73,RU,1/31/2021 22:55,overcast clouds
20,Te Anau,-45.4167,167.7167,67.8,56,71,1.48,NZ,1/31/2021 22:55,broken clouds
21,Hithadhoo,-0.6,73.0833,82.2,77,75,13.33,MV,1/31/2021 22:55,broken clouds
22,Jamestown,42.097,-79.2353,30,74,90,11.5,US,1/31/2021 22:55,overcast clouds
23,Nanortalik,60.1432,-45.2371,32.13,92,100,6.98,GL,1/31/2021 22:55,overcast clouds
24,Khatanga,71.9667,102.5,-39.91,80,29,7.02,RU,1/31/2021 22:55,scattered clouds
25,Faanui,-16.4833,-151.75,81.54,75,78,10.36,PF,1/31/2021 22:55,light rain
26,Mataura,-46.1927,168.8643,72.37,43,47,1.97,NZ,1/31/2021 22:55,scattered clouds
27,Hovd,48.0056,91.6419,1.78,88,35,2.04,MN,1/31/2021 22:55,scattered clouds
28,Kruisfontein,-34.0033,24.7314,66.99,85,71,3,ZA,1/31/2021 22:55,light rain
29,Yumen,40.2833,97.2,18.19,67,0,1.16,CN,1/31/2021 22:55,clear sky
30,Esperance,-33.8667,121.9,59,94,31,5.75,AU,1/31/2021 22:55,scattered clouds
31,Port-Gentil,-0.7193,8.7815,80.6,83,40,5.75,GA,1/31/2021 22:55,light rain
32,Clyde River,70.4692,-68.5914,-4,71,90,6.91,CA,1/31/2021 22:55,light snow
33,Cape Town,-33.9258,18.4232,66.99,82,75,18.41,ZA,1/31/2021 22:55,broken clouds
34,Vao,-22.6667,167.4833,76.23,74,100,24.36,NC,1/31/2021 22:55,overcast clouds
35,Talas,38.6908,35.5538,32,93,40,1.14,TR,1/31/2021 22:55,scattered clouds
36,San Ramon,37.7799,-121.978,66,36,1,5.75,US,1/31/2021 22:55,clear sky
37,Yellowknife,62.456,-114.3525,-4,77,75,4.61,CA,1/31/2021 22:55,broken clouds
38,Gunjur,13.2019,-16.7339,78.8,38,0,6.4,GM,1/31/2021 22:55,clear sky
39,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,75,2.3,CA,1/31/2021 22:55,broken clouds
40,Khandyga,62.6667,135.6,-52.87,77,77,1.19,RU,1/31/2021 22:55,broken clouds
41,Upington,-28.4478,21.2561,75.2,22,0,8.05,ZA,1/31/2021 22:55,clear sky
42,Bandarbeyla,9.4942,50.8122,72.39,72,11,18.12,SO,1/31/2021 22:55,few clouds
43,Ilulissat,69.2167,-51.1,6.8,56,91,9.22,GL,1/31/2021 22:55,overcast clouds
44,Touros,-5.1989,-35.4608,80.6,74,20,9.22,BR,1/31/2021 22:53,few clouds
45,Hobart,-42.8794,147.3294,72,63,90,9.22,AU,1/31/2021 22:55,overcast clouds
46,Ribeira Grande,38.5167,-28.7,63.05,85,100,27.85,PT,1/31/2021 22:55,overcast clouds
47,Saint George,37.1041,-113.5841,57,43,1,3.91,US,1/31/2021 22:55,clear sky
48,Kodiak,57.79,-152.4072,30.2,59,1,9.22,US,1/31/2021 22:52,clear sky
49,Dundee,56.5,-2.9667,33.8,100,75,6.91,GB,1/31/2021 22:55,light snow
50,Katsuura,35.1333,140.3,39.99,52,75,9.22,JP,1/31/2021 22:55,light rain
51,Severo-Kurilsk,50.6789,156.125,23.07,91,89,43.08,RU,1/31/2021 22:55,overcast clouds
52,Presidencia Roque Saenz Pena,-26.7852,-60.4388,80.01,75,12,4,AR,1/31/2021 22:55,few clouds
53,East London,-33.0153,27.9116,73.26,72,26,17.07,ZA,1/31/2021 22:55,scattered clouds
54,Ampanihy,-24.7,44.75,78.55,78,96,0.6,MG,1/31/2021 22:54,overcast clouds
55,Victoria,22.2855,114.1577,64.99,81,42,9.33,HK,1/31/2021 22:50,scattered clouds
56,Fria,10.4167,-13.5833,67.8,82,40,0.83,GN,1/31/2021 22:55,scattered clouds
57,Kismayo,-0.3582,42.5454,76.24,78,35,15.5,SO,1/31/2021 22:55,scattered clouds
58,Rocha,-34.4833,-54.3333,66.72,75,79,7.78,UY,1/31/2021 22:55,broken clouds
59,Birjand,32.8663,59.2211,30.2,40,0,4.61,IR,1/31/2021 22:53,clear sky
60,Kavieng,-2.5744,150.7967,84.02,80,100,14.29,PG,1/31/2021 22:55,light rain
61,Souillac,-20.5167,57.5167,80.6,78,40,13.8,MU,1/31/2021 22:55,scattered clouds
62,Zyryanka,65.75,150.85,-29.36,83,100,16.8,RU,1/31/2021 22:55,overcast clouds
63,Busselton,-33.65,115.3333,64.99,78,0,7,AU,1/31/2021 22:55,clear sky
64,Lensk,60.7253,114.9278,-28.35,79,100,9.89,RU,1/31/2021 22:51,overcast clouds
65,Punta Arenas,-53.15,-70.9167,53.6,66,0,20.71,CL,1/31/2021 22:52,clear sky
66,Kansanshi,-12.0951,26.4273,63.27,97,100,4,ZM,1/31/2021 22:55,light rain
67,Douentza,14.9951,-2.9517,69.73,20,100,4.03,ML,1/31/2021 22:55,overcast clouds
68,Tura,25.5198,90.2201,52.56,44,0,2.42,IN,1/31/2021 22:55,clear sky
69,Wagar,16.1525,36.2032,64.65,91,0,8.3,SD,1/31/2021 22:55,clear sky
70,Miri,4.4148,114.0089,77,100,40,2.3,MY,1/31/2021 22:55,scattered clouds
71,Kharitonovo,61.4009,47.4978,29.03,98,100,10.42,RU,1/31/2021 22:55,snow
72,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,13.8,EC,1/31/2021 22:55,clear sky
73,Dingli,35.8614,14.3822,57.2,77,40,18.41,MT,1/31/2021 22:55,scattered clouds
74,Sitka,57.0531,-135.33,41,52,40,5.75,US,1/31/2021 22:55,scattered clouds
75,Atuona,-9.8,-139.0333,78.98,75,32,16.78,PF,1/31/2021 22:55,scattered clouds
76,Kiama,-34.6833,150.8667,72,93,73,1.7,AU,1/31/2021 22:55,broken clouds
77,Saskylakh,71.9167,114.0833,-31.09,83,60,7.78,RU,1/31/2021 22:55,broken clouds
78,Avarua,-21.2078,-159.775,75.2,94,75,4.61,CK,1/31/2021 22:55,heavy intensity rain
79,West Bay,19.3667,-81.4167,84.2,58,20,8.05,KY,1/31/2021 22:50,few clouds
80,Solhan,38.9634,41.0293,24.48,93,48,0.69,TR,1/31/2021 22:55,scattered clouds
81,Chuy,-33.6971,-53.4616,69.04,90,100,14.58,UY,1/31/2021 22:51,overcast clouds
82,Proddatur,14.7333,78.55,66.6,78,100,4.09,IN,1/31/2021 22:55,overcast clouds
83,Kahului,20.8947,-156.47,78.8,57,20,18.41,US,1/31/2021 22:55,few clouds
84,Red Bluff,40.1785,-122.2358,53.6,66,90,3.02,US,1/31/2021 22:55,overcast clouds
85,Dingle,10.9995,122.6711,73.29,90,90,8.9,PH,1/31/2021 22:55,overcast clouds
86,Barrow,71.2906,-156.7887,-20.2,76,40,10.36,US,1/31/2021 22:51,haze
87,Gimli,50.6336,-96.9907,23,74,90,6.91,CA,1/31/2021 22:54,overcast clouds
88,Chokurdakh,70.6333,147.9167,-21.8,86,84,12.48,RU,1/31/2021 22:55,broken clouds
89,Iqaluit,63.7506,-68.5145,0,78,90,2.3,CA,1/31/2021 22:55,light snow
90,Lompoc,34.6391,-120.4579,64.4,32,1,3.44,US,1/31/2021 22:55,clear sky
91,Udachnyy,66.4167,112.4,-41.4,79,97,8.59,RU,1/31/2021 22:55,overcast clouds
92,Mingguang,32.7802,117.9638,46.02,86,99,5.77,CN,1/31/2021 22:55,overcast clouds
93,Upernavik,72.7868,-56.1549,2.28,93,100,7.38,GL,1/31/2021 22:55,overcast clouds
94,Turangi,-39,175.9333,79,39,19,4,NZ,1/31/2021 22:55,few clouds
95,Hilo,19.7297,-155.09,78.8,57,20,4.61,US,1/31/2021 22:51,few clouds
96,Luderitz,-26.6481,15.1594,65.71,72,1,19.37,NA,1/31/2021 22:55,clear sky
97,Port Alfred,-33.5906,26.891,71.01,87,5,5.01,ZA,1/31/2021 22:55,clear sky
98,Cherskiy,68.75,161.3,-16.51,82,97,6.67,RU,1/31/2021 22:55,overcast clouds
99,Cidreira,-30.1811,-50.2056,75.97,91,100,9.35,BR,1/31/2021 22:51,heavy intensity rain
100,Spring Hill,28.4769,-82.5255,75.2,57,40,20.71,US,1/31/2021 22:51,scattered clouds
101,Talnakh,69.4865,88.3972,-19.34,76,94,9.86,RU,1/31/2021 22:55,overcast clouds
102,Lebu,-37.6167,-73.65,58.55,83,3,15.61,CL,1/31/2021 22:55,clear sky
103,Calama,-22.4667,-68.9333,77,9,0,25.32,CL,1/31/2021 22:54,clear sky
104,Shimoda,34.6667,138.95,39.99,68,77,1.99,JP,1/31/2021 22:55,broken clouds
105,Port Macquarie,-31.4333,152.9167,79,65,73,1.99,AU,1/31/2021 22:55,broken clouds
106,Libenge,3.65,18.6333,76.42,59,30,3.89,CD,1/31/2021 22:55,scattered clouds
107,Kawalu,-7.3817,108.2082,71.29,85,98,2.89,ID,1/31/2021 22:55,overcast clouds
108,Dayong,25.0209,118.2898,55.4,94,46,2.24,CN,1/31/2021 22:55,mist
109,Port Elizabeth,-33.918,25.5701,71.6,73,40,21.85,ZA,1/31/2021 22:52,light rain
110,New Norfolk,-42.7826,147.0587,72,49,42,1.99,AU,1/31/2021 22:50,scattered clouds
111,Taber,49.8167,-112.1518,50,37,100,4.61,CA,1/31/2021 22:55,overcast clouds
112,Butaritari,3.0707,172.7902,80.65,82,65,12.68,KI,1/31/2021 22:55,light rain
