City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-01-20 01:14:13,42.6001,-73.9662,33.01,76,100,4.09
1,Floresta,BR,2021-01-20 01:15:44,-8.6011,-38.5686,78.98,57,95,16.11
2,Petropavlovsk-Kamchatskiy,RU,2021-01-20 01:15:45,53.0452,158.6483,21.2,53,40,13.42
3,Busselton,AU,2021-01-20 01:15:45,-33.65,115.3333,75.0,79,0,5.99
4,Nikolskoye,RU,2021-01-20 01:15:45,59.7035,30.7861,23.0,86,75,4.47
5,Panaba,MX,2021-01-20 01:15:45,21.2833,-88.2667,70.45,86,5,11.14
6,Sao Miguel Do Araguaia,BR,2021-01-20 01:14:52,-13.275,-50.1628,73.51,86,100,2.98
7,Carutapera,BR,2021-01-20 01:15:46,-1.195,-46.02,77.13,85,100,7.47
8,Nadym,RU,2021-01-20 01:13:11,65.5333,72.5167,-28.25,85,37,2.86
9,Upernavik,GL,2021-01-20 01:15:46,72.7868,-56.1549,24.06,80,100,5.73
10,Kailua,US,2021-01-20 01:13:22,21.4022,-157.7394,80.6,65,75,13.8
11,Rabo De Peixe,PT,2021-01-20 01:15:47,37.8,-25.5833,59.0,82,40,12.66
12,Ikalamavony,MG,2021-01-20 01:15:47,-21.15,46.5833,66.97,80,77,5.79
13,Chuy,UY,2021-01-20 01:15:47,-33.6971,-53.4616,64.45,79,0,7.63
14,Port Alfred,ZA,2021-01-20 01:15:47,-33.5906,26.891,66.99,89,1,3.0
15,Provideniya,RU,2021-01-20 01:15:47,64.3833,-173.3,-2.2,78,90,8.95
16,Tongliao,CN,2021-01-20 01:15:48,43.6125,122.2653,17.65,96,81,12.55
17,Bambous Virieux,MU,2021-01-20 01:15:48,-20.3428,57.7575,79.0,94,20,5.75
18,Bathsheba,BB,2021-01-20 01:15:48,13.2167,-59.5167,78.8,69,20,19.57
19,Toamasina,MG,2021-01-20 01:15:48,-18.1667,49.3833,78.89,86,100,5.37
20,Kapaa,US,2021-01-20 01:15:49,22.0752,-159.319,69.8,100,90,25.32
21,Beruwala,LK,2021-01-20 01:15:49,6.4788,79.9828,75.2,86,98,9.46
22,Constitucion,CL,2021-01-20 01:15:49,-35.3333,-72.4167,59.04,93,11,5.17
23,Gorin,RU,2021-01-20 01:15:49,51.1983,136.6669,-12.3,85,32,6.85
24,Leningradskiy,RU,2021-01-20 01:15:50,69.3833,178.4167,-20.27,83,45,8.86
25,Georgetown,MY,2021-01-20 01:15:50,5.4112,100.3354,78.8,78,20,3.44
26,Pahrump,US,2021-01-20 01:15:26,36.2083,-115.9839,54.0,24,82,5.99
27,Bahia Honda,CU,2021-01-20 01:15:50,22.9036,-83.1592,69.08,82,100,12.1
28,Port Elizabeth,ZA,2021-01-20 01:15:50,-33.918,25.5701,64.4,94,90,12.66
29,Toyos,HN,2021-01-20 01:15:51,15.55,-87.65,78.8,78,40,6.91
30,Evensk,RU,2021-01-20 01:15:51,61.95,159.2333,-12.33,78,0,10.36
31,Opuwo,NA,2021-01-20 01:15:51,-18.0607,13.84,68.0,62,100,1.88
32,Morros,BR,2021-01-20 01:15:51,-9.4467,-46.3003,77.07,65,76,1.1
33,Ushuaia,AR,2021-01-20 01:15:51,-54.8,-68.3,59.0,55,40,4.61
34,Ponta Do Sol,PT,2021-01-20 01:15:52,32.6667,-17.1,59.0,75,100,8.99
35,Rikitea,PF,2021-01-20 01:15:52,-23.1203,-134.9692,78.89,75,0,16.2
36,Punta Arenas,CL,2021-01-20 01:11:44,-53.15,-70.9167,59.0,58,20,5.75
37,Araguaina,BR,2021-01-20 01:15:52,-7.1911,-48.2072,74.08,89,18,0.51
38,Atuona,PF,2021-01-20 01:15:53,-9.8,-139.0333,78.44,70,0,9.64
39,Jaragua,BR,2021-01-20 01:15:53,-15.7569,-49.3344,69.8,94,75,2.3
40,Alta Floresta,BR,2021-01-20 01:15:53,-9.8756,-56.0861,75.2,94,0,1.14
41,Mayor Pablo Lagerenza,PY,2021-01-20 01:15:53,-19.9309,-60.7718,68.72,82,0,2.8
42,Kruisfontein,ZA,2021-01-20 01:15:54,-34.0033,24.7314,66.99,79,2,1.01
43,Samarai,PG,2021-01-20 01:15:54,-10.6167,150.6667,86.95,71,0,14.05
44,Olafsvik,IS,2021-01-20 01:15:54,64.8945,-23.7142,32.0,93,63,37.2
45,Isangel,VU,2021-01-20 01:15:54,-19.55,169.2667,87.8,84,75,5.75
46,Butaritari,KI,2021-01-20 01:15:55,3.0707,172.7902,80.06,81,91,21.18
47,East London,ZA,2021-01-20 01:15:55,-33.0153,27.9116,70.02,73,53,15.32
48,Hilo,US,2021-01-20 01:15:18,19.7297,-155.09,78.8,65,90,11.5
49,Saint-Philippe,RE,2021-01-20 01:15:55,-21.3585,55.7679,78.8,78,0,3.44
50,Dunedin,NZ,2021-01-20 01:15:55,-45.8742,170.5036,58.86,54,100,14.14
51,Liverpool,GB,2021-01-20 01:14:43,53.4106,-2.9779,51.8,93,75,17.27
52,Severomuysk,RU,2021-01-20 01:15:56,56.1481,113.4267,-17.46,90,100,3.24
53,Jamestown,US,2021-01-20 01:15:56,42.097,-79.2353,28.0,86,90,9.22
54,Erzin,TR,2021-01-20 01:15:56,36.9559,36.2,41.0,60,86,11.01
55,Thompson,CA,2021-01-20 01:15:57,55.7435,-97.8558,-0.4,85,90,5.75
56,Ixtapa,MX,2021-01-20 01:15:57,20.7,-105.2,73.4,83,90,1.03
